starttime,endtime,plant,airflow,leaf_area,gsw,gbw,gtw,Tleaf,Tair,pressure,vpd,RH,E,h2o_in,h2o_out,co2_flux,co2_in,co2_out,cos_flux,cos_in,cos_out,gsw_unc,h2o_out_unc,co2_out_unc,cos_out_unc,lru
2022-03-21 12:35:46,2022-03-21 12:44:53,sunflower_1,0.00034983506783543725,0.0009000000000000002,0.5497599661503839,2.441381374863213,0.4891477156661655,19.0784,19.3348774193548,103189.4273225804,0.6467400083292498,69.69228565588564,0.003123014564859157,7.3070606451612905,15.2074903225806,21.010102974837512,433.45375,379.4023,78.06580105406748,1160.9454634376013,959.671961336772,0.11569431481020484,1.5406191895523786,0.12999454112470304,16.259184484942892,1.4689593997622508
2022-03-21 12:53:40,2022-03-21 13:02:00,sunflower_1,0.00034995133295932687,0.0009000000000000002,0.5888298761078324,2.441671959226412,0.5198246488902749,20.2804516129032,20.5275,103176.92487096779,0.564112456676273,75.2180496189098,0.002901313744832339,10.3522870967742,17.674164516129,22.2971297377628,437.17165,379.8282,75.47132673877114,1140.418143739554,945.8153197769271,0.0629702694891548,0.08915483697187042,0.09990811912285667,16.835192386451915,1.3592955184672386
2022-03-21 13:33:15,2022-03-21 13:46:00,sunflower_1,0.00035007551250000005,0.0009000000000000002,0.6542835978487029,2.4409404246861506,0.5702662386841534,26.046002419354853,26.425610913978506,103143.71700445957,0.5797408273620734,81.02799700605179,0.003304483006661094,18.9238751612903,27.182791989247303,23.731891273329172,441.0814,380.0697,76.51664328023048,1082.7993089798324,885.245767874558,0.07024538678012528,0.4256536746591802,0.2740371699038078,20.343535740979487,1.38427682620015
2022-03-21 13:46:00,2022-03-21 13:51:25,sunflower_1,0.00035007291099706743,0.0009000000000000002,0.6961367706305475,2.441218902672233,0.6018546130800173,26.218412903225797,26.60450806451615,103145.95497866634,0.5730187382089686,81.36139531636597,0.003448118374406016,18.96880806451615,27.583211290322552,23.8895783497866,441.2731,379.85555,66.27886915151194,1057.3249061011084,886.0802999862792,0.06105155720281786,0.04166612903224909,0.14293076878918706,15.694749701006307,1.1893563631950101
2022-03-21 13:55:29,2022-03-21 14:02:15,sunflower_1,0.00035002964095371666,0.0009000000000000002,0.6032993073662132,2.440831706517557,0.531075904391111,28.8426096774194,29.480222580645197,103151.02945161317,0.8388519077786927,76.09475796692425,0.0044222309237728725,19.361296774193498,30.503212903225798,23.841763395192157,441.6112,380.309,65.46503838406613,1055.7741357271416,886.4437276950696,0.06730869737814738,0.3695325843222792,0.10734380404413522,13.525344414881635,1.1780303645407122
2022-03-21 14:02:15,2022-03-21 14:11:38,sunflower_1,0.00035006808546049554,0.0009000000000000002,0.5581916374162317,2.4408731438602427,0.4957854020833358,29.384377419354802,30.0175032258065,103148.92976666694,0.9019780242095085,75.27126495283093,0.004498821814041023,19.917406451612898,31.117903225806398,23.85163617590025,442.279,380.95815,64.69424248849985,1059.1177235758305,891.7549206721493,0.06564276053951638,0.314570954892568,0.14637851830859847,14.099199163051406,1.158721887266349
2022-03-21 14:11:38,2022-03-21 14:22:36,sunflower_1,0.00035007424572230017,0.0009000000000000002,0.490824920814358,2.440623298675253,0.4418765977134471,30.91412,31.70127,103179.98710000001,1.135295129107622,71.43950722492758,0.005054089672368153,19.9297548387097,32.506686666666695,23.580242697655077,442.5112,381.88915,61.9869206809202,1057.583199570924,897.089278755832,0.06246320647591417,0.16313491371830904,0.12522313346803818,19.238868924195174,1.119060186900896
2022-03-21 15:07:29,2022-03-21 15:14:23,sunflower_1,0.0003500221468910705,0.0009000000000000002,1.139269444562859,2.4411504382318765,0.9080157396776336,25.12484,25.4697838709677,103171.62332258072,0.4110016913133596,85.39936636830619,0.0037254886150649524,17.756593333333303,27.0657322580645,23.548673324488487,441.18,380.6301,69.95502223204957,1104.9897711290478,924.3338580606533,0.06512820854789225,0.12183133690031228,0.13138797547721276,17.596450131904696,1.2232823836529956
2022-03-21 15:14:23,2022-03-21 15:22:21,sunflower_1,0.00035002496441837735,0.0009000000000000002,0.9670280442761486,2.4391125102536275,0.7945159721949506,25.122117419354854,25.4572409139785,103148.28992592571,0.4506015375064589,84.23522220249887,0.0035724636141830765,17.751042795698897,26.682940537634398,23.324632999778785,441.12535,381.152,68.37469472875897,1108.2610127986188,931.670511490824,0.06297806000074593,0.08217279569890046,0.16197865363477285,17.946122181380602,1.199268521627768
2022-03-21 15:22:21,2022-03-21 15:28:23,sunflower_1,0.00035027273787878785,0.0009000000000000002,0.8206013225829354,2.4408594743488266,0.6927217363214013,25.12596451612905,25.442929032258053,103138.78628794364,0.4936049449563811,83.01207635165795,0.003410375834157025,17.745572580645202,26.2755677419355,23.167486454023628,441.1505,381.62335,63.69764107435268,1109.128845797717,944.6684203524957,0.06329351693059071,0.10545806451609964,0.16987867108288598,18.98599023878256,1.11070818873512
2022-03-21 15:28:23,2022-03-21 15:34:40,sunflower_1,0.0003502745575757576,0.0009000000000000002,0.6860742549947799,2.4403975876348656,0.5941611884044034,25.132566129032302,25.435459677419352,103124.34159355176,0.5437007790184867,81.55254699628921,0.003221451420296725,17.743591935483852,25.805685483871002,22.951701465756226,441.1345,382.1621,60.65214810329323,1099.055477264962,942.4213629396685,0.0630218608879785,0.11366290322579965,0.14760275607183504,18.022625712208427,1.0716026846330682
